,id,text
9,1449943890723758083,Day 36 of asking Insomniac to please add the Captain Universe suit to Spider-Man 2 for either Peter or Miles or both 🙌 #SpiderManPS5 #SpiderMan2 #InsomniacGames https://t.co/BJ51Xs5Jmk
10,1449715985716584452,"Found some Symbiote Suit leaks. :P #PS5Share, #MarvelsSpiderManRemastered  #MarvelsSpiderMan2 #SpiderMan2 #Venom #SymbioteSuit #VirtualPhotography #TheCapturedCollective #VGPUnite #GamerGram #WorldofVP #VPCommunity #ArtisticofSociety #VPWorld https://t.co/wL1Z9GjJzs"
11,1449714150024925187,OMG!! Ready for #spiderman2 https://t.co/hKStmeSLrT
12,1449606315567947778,"Spiderman 2 Leak!?!?!?!

#Spiderman2 #peterparker #milesmorales #venom #kraventhehunter #mysterio #thelizard #drconners #normanosborn #harryosborn #marvel #leak #NXL #nxlfaithful #Needextralife https://t.co/WODNdES76D"
13,1449543267943596035,"Marvel's Spider-Man 2  (2023)  Game Trailer  PS5 HD
#Spiderman2 #SpiderManPS5 #PS5Share 
https://t.co/KhobYe9UYk"
14,1449536689391783936,@_southernoracle hello jonathan how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🌟💪🏻💯🕷️🕷️🕷️🕷️ #SpiderManPS5  #Spiderman2  #InsomniacGames https://t.co/91WiX5KcPc
15,1449525568047927300,"Game coming out that excite me:

#SuicideSquadGame 
#WolverinePS5 
#spiderman2
#GothamKnights 
#WWE2K22 
#CallofDutyVanguard"
16,1449483708793294850,@yeahmergo Can’t wait for #SpiderManNoWayHome!! Plus the #spiderman2 game trailer now makes sense as to why #Venom is in it…!
17,1449466843849183239,New #SpiderManNoWayHomeleak shows Tom Holland’s Peter Parker getting run over by the same train Alfred Molinas Doc Ock fought Tobey Maguire’s Peter Parker in #SpiderMan2 https://t.co/lMvHdJ48bl
18,1449445076510277635,#Spiderman2’s Yuri Lowenthal chats about fan love for the video game trailer and Tony Todd: https://t.co/2iHKPPZGBs
19,1449431178507952133,I wish #Venom is playable character in #SpiderMan2 #Marvel . https://t.co/hApcyFFtdK
20,1449383260933529601,Day 35 of asking Insomniac to please add the Captain Universe suit to Spider-Man 2 for either Peter or Miles or both 🙌 #SpiderManPS5 #SpiderMan2 #InsomniacGames https://t.co/G9vLaDEu6q
